symbol,timeframe,time,open,high,low,close
XAUUSD,H4,2026.08.28 20:00:00,4479.41,4486.53,4445.41,4454.31
XAUUSD,H4,2026.08.31 00:00:00,4441.32,4472.03,4430.35,4456.31
XAUUSD,H4,2026.08.31 04:00:00,4456.33,4463.32,4396.46,4424.52
XAUUSD,H4,2026.08.31 08:00:00,4424.52,4449.48,4419.23,4435.58
XAUUSD,H4,2026.08.31 12:00:00,4435.57,4464.02,4435.39,4435.74
XAUUSD,H4,2026.08.31 16:00:00,4435.75,4448.26,4415.70,4433.21
XAUUSD,H4,2026.08.31 20:00:00,4433.20,4455.84,4426.22,4448.38
XAUUSD,H4,2026.09.01 00:00:00,4448.42,4461.43,4441.80,4453.65
XAUUSD,H4,2026.09.01 04:00:00,4453.66,4456.92,4425.51,4426.65
XAUUSD,H4,2026.09.01 08:00:00,4426.65,4446.01,4369.35,4370.80
XAUUSD,H4,2026.09.01 12:00:00,4370.79,4387.20,4351.98,4356.31
XAUUSD,H4,2026.09.01 16:00:00,4356.27,4375.56,4326.20,4351.31
XAUUSD,H4,2026.09.01 20:00:00,4351.30,4351.92,4322.89,4328.82
XAUUSD,H4,2026.09.02 00:00:00,4330.48,4335.74,4314.54,4315.83
XAUUSD,H4,2026.09.02 04:00:00,4315.80,4326.69,4282.51,4307.25
XAUUSD,H4,2026.09.02 08:00:00,4307.25,4331.65,4303.64,4312.86
XAUUSD,H4,2026.09.02 12:00:00,4312.90,4344.41,4301.77,4331.36
XAUUSD,H4,2026.09.02 16:00:00,4331.36,4397.63,4330.79,4368.23
XAUUSD,H4,2026.09.02 20:00:00,4368.24,4391.43,4364.58,4387.41
XAUUSD,H4,2026.09.03 00:00:00,4390.53,4397.75,4381.13,4395.46
XAUUSD,H4,2026.09.03 04:00:00,4395.50,4438.36,4387.31,4437.36
XAUUSD,H4,2026.09.03 08:00:00,4437.36,4443.58,4418.79,4434.92
XAUUSD,H4,2026.09.03 12:00:00,4434.94,4495.18,4419.09,4493.53
XAUUSD,H4,2026.09.03 16:00:00,4493.62,4510.78,4456.77,4486.24
XAUUSD,H4,2026.09.03 20:00:00,4486.26,4494.66,4470.43,4473.28
XAUUSD,H4,2026.09.04 00:00:00,4470.47,4487.07,4470.47,4486.34
XAUUSD,H4,2026.09.04 04:00:00,4486.34,4487.07,4465.48,4473.70
XAUUSD,H4,2026.09.04 08:00:00,4473.72,4490.71,4460.17,4477.76
